Gene Name	Left-End-Position	Right-End-Position	Product
dnaA	3882326	3883729	chromosomal replication initiator protein DnaA
yhcC	3353121	3354050	radical SAM family oxidoreductase YhcC
rplD	3451681	3452286	50S ribosomal subunit protein L4
ligA	2528161	2530176	DNA ligase
ilvA	3955331	3956875	threonine deaminase
paaH	1459054	1460481	3-hydroxyadipyl-CoA dehydrogenase
hprR	2038152	2038823	DNA-binding transcriptional dual regulator HprR-phosphorylated // DNA-binding transcriptional dual regulator HprR
ynjD	1838747	1839400	putative ABC transporter ATP-binding protein YnjD
yliI	878742	879857	aldose sugar dehydrogenase YliI
yhjD	3673362	3674375	putative transporter YhjD
asnV	2062260	2062335	tRNA-Asn(GUU)
ydiO	1777196	1778347	putative acyl-CoA dehydrogenase YdiO
orn	4391604	4392149	oligoribonuclease
yfjQ	2768665	2769486	CP4-57 prophage; DUF932 domain-containing protein YfjQ
yahF	336778	338325	putative acyl-CoA synthetase YahF
ybfK	720583	720840	
prfH	253702	254202	putative peptide chain release factor
hokB	1491922	1492071	toxin HokB
lrp	932595	933089	DNA-binding transcriptional dual regulator Lrp
kduD	2982497	2983258	putative 2-keto-3-deoxy-D-gluconate dehydrogenase
murD	97087	98403	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase
ybfC	735650	736219	uncharacterized protein YbfC
cysE	3781741	3782562	serine acetyltransferase
ydiQ	1779617	1780381	putative electron transfer flavoprotein subunit YdiQ
sgcB	4530255	4530533	putative PTS enzyme IIB component SgcB
ynjA	1835515	1836063	AhpD-like domain-containing protein YnjA
nepI	3840549	3841739	purine ribonucleoside exporter
mmuM	276715	277647	CP4-6 prophage; homocysteine <i>S</i>-methyltransferase
dinD	3817760	3818584	DNA damage-inducible protein D
cspA	3720049	3720261	cold shock protein CspA
uxaB	1609229	1610680	tagaturonate reductase
eutQ	2574302	2575003	putative ethanolamine utilization acetate kinase EutQ
yhdN	3439141	3439509	DUF1992 domain-containing protein YhdN
rppH	2968447	2968977	RNA pyrophosphohydrolase
yffM	2561368	2561613	CPZ-55 prophage; uncharacterized protein YffM
glnQ	845741	846463	L-glutamine ABC transporter ATP binding subunit
tfaS	2470803	2471105	
ldrA	1269168	1269275	small toxic polypeptide LdrA
yobB	1925440	1926096	putative carbon-nitrogen hydrolase family protein YobB
lpoA	3293400	3295436	outer membrane lipoprotein - activator of MrcA activity
rspB	1652896	1653915	putative zinc-binding dehydrogenase RspB
cysK	2532409	2533380	cysteine synthase A
fdx	2656748	2657083	oxidized ferredoxin // reduced ferredoxin
yneE	1608108	1609022	PF01062 family inner membrane protein YneE
yifK	3980887	3982272	putative transporter YifK
pdxJ	2700998	2701729	pyridoxine 5'-phosphate synthase
lgoR	4594937	4595851	putative DNA-binding transcriptional regulator LgoR
vsr	2030448	2030918	DNA mismatch endonuclease Vsr
hcxA	632389	633477	hydroxycarboxylate dehydrogenase A
prpD	351215	352666	2-methylcitrate dehydratase
ytfR	4451058	4452560	galactofuranose ABC transporter putative ATP binding subunit
kefF	47246	47776	regulator of KefC-mediated potassium transport and quinone oxidoreductase
yihY	4076146	4077018	PF03631 family membrane protein YihY
alaW	2518156	2518231	tRNA-Ala(GGC)
hicA	1509286	1509462	mRNA interferase toxin HicA
yghB	3153563	3154222	DedA family protein YghB
ogrK	2167302	2167520	prophage P2 late control protein OgrK
ydaE	1417838	1418008	Rac prophage; zinc-binding protein
glnH	847258	848004	L-glutamine ABC transporter periplasmic binding protein
ybfO	734220	735653	RHS repeats-containing protein YbfO
ypjF	2777453	2777782	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system
livJ	3598555	3599658	branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein
yqeA	3011461	3012393	putative amino acid kinase YqeA
mepS	2269979	2270545	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase
yecH	1989251	1989490	DUF2492 domain-containing protein YecH
cysM	2538672	2539583	cysteine synthase B
ydiR	1780401	1781339	putative electron transfer flavoprotein subunit YdiR
agaB	3284170	3284646	galactosamine-specific PTS enzyme IIB component
ycjQ	1374963	1376015	D-guloside 3-dehydrogenase
entS	622300	623550	enterobactin exporter EntS
metJ	4128078	4128395	DNA-binding transcriptional repressor MetJ
yegP	2165189	2165521	DUF1508 domain-containing protein YegP
moeA	865129	866364	molybdopterin molybdotransferase
hybA	3144154	3145140	hydrogenase 2 iron-sulfur protein
rbsD	3933351	3933770	D-ribose pyranase
yicH	3830457	3832166	AsmA family protein YicH
caiF	34300	34695	DNA-binding transcriptional activator CaiF
yhaV	3277337	3277801	ribosome-dependent mRNA interferase toxin YhaV
essQ	1640370	1640585	Qin prophage; putative prophage lysis protein EssQ
glnA	4056625	4058034	adenylyl-[glutamine synthetase] // glutamine synthetase
cbtA	2077569	2077943	CP4-44 prophage; cytoskeleton-binding toxin CbtA
ybfI	716721	716870	
pqiB	1013259	1014899	intermembrane transport protein PqiB
ydcJ	1495288	1496631	DUF1338 domain-containing protein YdcJ
lpp	1757421	1757657	murein lipoprotein
norW	2833912	2835045	NADH:flavorubredoxin reductase
gpp	3962745	3964229	guanosine-5'-triphosphate,3'-diphosphate phosphatase
cysB	1333855	1334829	DNA-binding transcriptional dual regulator CysB
gfcD	1045849	1047945	putative lipoprotein GfcD
emrE	568315	568647	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE
parE	3173504	3175396	DNA topoisomerase IV subunit B
nimR	1874755	1875576	DNA-binding transcriptional repressor NimR
mutH	2969662	2970351	DNA mismatch repair protein MutH
yghE	3111128	3111988	putative type II secretion system L-type protein YghE
mngB	767978	770611	&alpha;-mannosidase
fldA	710935	711465	oxidized flavodoxin 1 // flavodoxin 1
metN	221614	222645	L-methionine/D-methionine ABC transporter ATP binding subunit
yegS	2168712	2169611	lipid kinase YegS
sgcQ	4528111	4528917	KpLE2 phage-like element; putative nucleoside triphosphatase
valW	1746516	1746592	tRNA-Val(GAC)
ghoS	4352584	4352880	antitoxin of the GhoTS toxin-antitoxin system
tonB	1311089	1311808	Ton complex subunit TonB
insH5	1427746	1428726	Rac prophage; IS<i>5</i> transposase and trans-activator
b2084	2167735	2168001	
yhgP	3573679	3573708	protein YhgP
glnD	185978	188650	protein-PII uridylyltransferase/uridylyl-removing enzyme
ttcC	1434958	1435008	putative tRNA 2-thiocytidine (s(2)C32) synthase
hlyE	1229483	1230394	hemolysin E
yihR	4069475	4070401	putative sulfoquinovose mutarotase YihR
ldtE	1757721	1758725	L,D-transpeptidase LdtE
yffB	2591247	2591603	putative reductase YffB
qorA	4263248	4264231	putative quinone oxidoreductase 1
cmtA	3077471	3078859	mannitol-specific PTS enzyme IICB component CmtA
ybhN	821542	822498	PF03706 family inner membrane protein YbhN
ydhP	1736121	1737290	putative transporter YdhP
metC	3152236	3153423	cystathionine &beta;-lyase / L-cysteine desulfhydrase / alanine racemase
alkA	2146692	2147540	DNA-3-methyladenine glycosylase 2
mdaB	3172530	3173111	NADPH:quinone oxidoreductase MdaB
melB	4343369	4344790	melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter
rmuC	4017333	4018760	putative recombination limiting protein RmuC
potB	1183617	1184444	spermidine preferential ABC transporter membrane subunit PotB
beeE	1205731	1206204	e14 prophage; protein BeeE
glnL	4055290	4056339	protein histidine kinase NtrB
ymjB	1381789	1381902	hypothetical protein YmjB
hokA	3720448	3720600	small toxic polypeptide
murA	3335235	3336494	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ybeQ	675570	676547	Sel1 repeat-containing protein YbeQ
ssuE	996937	997512	NADPH-dependent FMN reductase
cybB	1490902	1491432	superoxide oxidase
ybaP	507286	508080	TraB family protein YbaP
mdfA	883673	884905	multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter
pdxB	2436715	2437851	erythronate-4-phosphate dehydrogenase
ybaQ	508218	508559	DNA-binding transcriptional regulator YbaQ
mutM	3810343	3811152	DNA-formamidopyrimidine glycosylase
ysaA	3741109	3741582	putative electron transport protein YsaA
dhaM	1247696	1249114	dihydroxyacetone kinase subunit M
fhuC	169778	170575	iron(III) hydroxamate ABC transporter ATP binding subunit
glsA	511641	512573	glutaminase 1
yhhZ	3581863	3583041	putative endonuclease YhhZ
serT	1031625	1031712	tRNA-Ser(UGA)
yqjA	3247773	3248435	DedA family protein YqjA
ybcW	579880	580086	DLP12 prophage; uncharacterized protein YbcW
ymiD	1344647	1344775	protein YmiD
glnB	2687070	2687408	uridylyl-[protein PII-1] // nitrogen regulatory protein PII-1
phnE	4322443	4323281	phosphonate/phosphate ABC transporter membrane subunit
ldrB	1269703	1269810	small toxic polypeptide LdrB
folX	2421325	2421687	dihydroneopterin triphosphate 2'-epimerase
ddlB	102233	103153	D-alanine&mdash;D-alanine ligase B
ydiJ	1765629	1768685	putative FAD-linked oxidoreductase YdiJ
ydiS	1781395	1782684	putative electron transfer flavoprotein-quinone oxidoreductase YdiS
ulaC	4421708	4422172	L-ascorbate specific PTS enzyme IIA component
dgd			D-galactose 1-dehydrogenase
emrY	2480638	2482176	tripartite efflux pump membrane subunit EmrY
bisC	3714061	3716394	biotin sulfoxide reductase
mug	3214967	3215473	stationary phase mismatch/uracil DNA glycosylase
ychA	1267320	1268129	transglutaminase-like/TPR repeat-containing protein
malG	4242626	4243516	maltose ABC transporter membrane subunit MalG
eutJ	2569501	2570337	putative ethanolamine utilization chaperonin EutJ
glaR	2795674	2796336	DNA-binding transcriptional repressor GlaR
yagN	295139	295579	CP4-6 prophage; protein YagN
artI	902257	902988	putative ABC transporter periplasmic binding protein ArtI
ldrD	3699980	3700087	small toxic polypeptide LdrD
yjhD	4506626	4506856	KpLE2 phage-like element; surface adhesin E-like protein
nlpA	3839175	3839993	lipoprotein-28
ldtC	1169412	1170374	L,D-transpeptidase LdtC
ybgE	774309	774602	PF09600 family protein YbgE
fldB	3039855	3040376	oxidized flavodoxin 2 // flavodoxin 2
phoH	1084992	1086056	ATP-binding protein PhoH
ytjE	4640718	4640771	protein YtjE
mdtM	4567287	4568519	multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter
dinB	250898	251953	DNA polymerase IV
hupA	4200281	4200553	DNA-binding protein HU-&alpha;
gph	3513631	3514389	phosphoglycolate phosphatase
ygdI	2942918	2943145	DUF903 domain-containing lipoprotein YgdI
ucpA	2543832	2544623	oxidoreductase UcpA
sbcB	2082756	2084183	exodeoxyribonuclease I
ddpF	1557112	1558038	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF
preA	2235265	2236500	dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreA
ibaG	3336549	3336803	acid stress protein IbaG
leuX	4496405	4496489	tRNA-Leu(CAA)
ccp	3667791	3669188	cytochrome <I>c</i> peroxidase
ykfA	268097	268960	CP4-6 prophage; putative GTP-binding protein YkfA
b0105	114407	114514	
yneP	1579545	1579667	protein YneP
glnP	846460	847119	L-glutamine ABC transporter membrane subunit
intG	2012502	2012780	putative defective phage integrase
ratA	2754288	2754764	ribosome association toxin RatA
ycjG	1388930	1389895	L-Ala-D/L-Glu epimerase
murI	4165428	4166285	glutamate racemase
yncH	1526940	1527152	DUF5445 domain-containing protein YncH
ydiB	1773789	1774655	quinate/shikimate dehydrogenase
glvB	3861987	3862472	putative PTS enzyme II component GlvB
naRNA6	4325805	4325881	naRNA6
yiaN	3744804	3746081	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit
metR	4011863	4012816	DNA-binding transcriptional dual regulator MetR
ung	2716754	2717443	uracil-DNA glycosylase
recD	2950635	2952461	exodeoxyribonuclease V subunit RecD
galE	791039	792055	UDP-glucose 4-epimerase
puuC	1362743	1364230	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase
ydjA	1848125	1848676	putative oxidoreductase YdjA
ykfF	265304	265543	CP4-6 prophage; protein YkfF
glnG	4053869	4055278	DNA-binding transcriptional dual regulator NtrC
ykiA	408609	408950	DUF2773 domain-containing protein YkiA
srmB	2712896	2714230	ATP-dependent RNA helicase SrmB
dacB	3328963	3330396	peptidoglycan DD-endopeptidase DacB
yadE	145081	146310	putative polysaccharide deacetylase lipoprotein YadE
aroF	2740080	2741150	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive
spoT	3822400	3824508	bifunctional (p)ppGpp synthase/hydrolase SpoT
micL	1958441	1958520	small regulatory RNA MicL-S
uraA	2618871	2620160	uracil:H<sup>+</sup> symporter UraA
pdxI	1474221	1475081	pyridoxal reductase
ytfH	4434113	4434493	putative transcriptional regulator YtfH
tag	3713092	3713655	3-methyl-adenine DNA glycosylase I, constitutive
yeiI	2251700	2252788	putative sugar kinase YeiI
rhaD	4093448	4094272	rhamnulose-1-phosphate aldolase
mcrC	4576912	4577958	Type IV methyl-directed restriction enzyme EcoKMcrBC subunit
yadG	142779	143705	putative ABC transporter ATP-binding protein YadG
ridA	4470527	4470913	enamine/imine deaminase, redox-regulated chaperone
yqgE	3092937	3093500	DUF179 domain-containing protein YqgE
glyU	2998984	2999057	tRNA-Gly(CCC)
fixA	42403	43173	putative electron transfer flavoprotein FixA
yagB	280385	280735	CP4-6 prophage; orphan antitoxin YagB
yahV	331802	331876	protein YahV
yrdF	3404495	3404637	
rpsF	4425118	4425513	30S ribosomal subunit protein S6
pntA	1676371	1677903	pyridine nucleotide transhydrogenase subunit &alpha;
ybjG	882792	883388	undecaprenyl pyrophosphate phosphatase
ycgM	1228079	1228738	putative isomerase/hydrolase
aroC	2446388	2447473	chorismate synthase
agaD	3285478	3286269	galactosamine-specific PTS enzyme IID component
insJK	3720680	3722049	IS150 protein InsAB
nhaB	1233176	1234717	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB
metE	4013053	4015314	cobalamin-independent homocysteine transmethylase
mutS	2857093	2859654	DNA mismatch repair protein MutS
chbF	1817148	1818500	monoacetylchitobiose-6-phosphate hydrolase
endA	3090347	3091054	DNA-specific endonuclease I
gabT	2792735	2794015	4-aminobutyrate aminotransferase GabT
rhsA	3762183	3766316	rhs element protein RhsA
eutA	2565481	2566884	ethanolamine ammonia-lyase reactivase EutA
ydfD	1649794	1649985	Qin prophage; lysis protein
paeA	4439872	4441215	putative cadaverine/putrescine exporter
yoeH	2068261	2068419	
rplV	3449901	3450233	50S ribosomal subunit protein L22
murE	93166	94653	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
rspA	1653927	1655141	mandelate racemase/muconate lactonizing enzyme family protein RspA
shiA	2053643	2054959	shikimate:H+ symporter
ybcI	556032	556553	PF04307 family inner membrane protein YbcI
umuC	1231186	1232454	DNA polymerase V catalytic protein
nemR	1726023	1726622	DNA-binding transcriptional repressor NemR
yoaA	1891325	1893235	putative ATP-dependent 5' to 3' DNA helicase
yfgG	2629290	2629481	nickel/cobalt stress response protein YfgG
tktA	3079644	3081635	transketolase 1
xseA	2634232	2635602	exodeoxyribonuclease VII subunit XseA
cysA	2539717	2540814	sulfate/thiosulfate ABC transporter ATP binding subunit
azoR	1482255	1482860	FMN dependent NADH:quinone oxidoreductase
ygbK	2862335	2863501	putative 3-oxo-tetronate kinase YgbK
argZ	2818059	2818135	tRNA-Arg(ACG)
pspD	1369393	1369614	phage shock protein D
ythA	4506448	4506573	KpLE2 phage-like element; uncharacterized protein YthA
C0067	238462	238586	
yhdW	3419042	3420066	putative ABC transporter periplasmic binding protein YhdW
rplC	3452297	3452926	50S ribosomal subunit protein L3
sgcE	4526905	4527537	KpLE2 phage-like element; putative epimerase SgcE
mtgA	3349081	3349809	peptidoglycan glycosyltransferase MtgA
ybjD	916473	918131	DUF2813 domain-containing protein YbjD
aroK	3518543	3519064	shikimate kinase 1
yiaW	3754105	3754428	DUF3302 domain-containing protein YiaW
fryA	2501990	2504485	putative PTS multiphosphoryl transfer protein FryA
metA	4214280	4215209	homoserine <i>O</i>-succinyltransferase
mutL	4397412	4399259	DNA mismatch repair protein MutL
sbcC	412607	415753	ATP-dependent structure-specific DNA nuclease - SbcC subunit
araD	65855	66550	L-ribulose-5-phosphate 4-epimerase AraD
yfdX	2493767	2494402	protein YfdX
eutR	2554130	2555182	putative DNA-binding transcriptional regulator EutR
yfdT	2475873	2476178	CPS-53 (KpLE1) prophage; protein YfdT
rhsE	1527890	1529938	RhsE protein in rhs element
rpsS	3450248	3450526	30S ribosomal subunit protein S19
elyC	972622	973401	envelope biogenesis factor
aroD	1774686	1775444	3-dehydroquinate dehydratase
cstA	629894	631999	pyruvate transporter CstA
yeiR	2267829	2268815	zinc-binding GTPase YeiR
yqiI	3190632	3191696	putative fimbrial protein YqiI
matA	310746	311336	DNA-binding transcriptional dual regulator MatA
alkB	2308691	2309341	DNA oxidative demethylase
ydcD	1529922	1530404	uncharacterized protein YdcD
hcaE	2669032	2670393	putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;
recE	1414786	1417386	Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific
lolD	1176619	1177320	lipoprotein release complex - ATP binding subunit
cueO	137083	138633	multicopper oxidase CueO
hiuH	2038956	2039369	hydroxyisourate hydrolase / transthyretin-related protein
alaT	4037260	4037335	L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)
rzpQ	1639030	1639527	Qin prophage; DUF2514 domain-containing protein RzpQ
ymiA	1335148	1335288	uncharacterized protein YmiA
yrhA			putative uncharacterized protein YrhA
rpsC	3449182	3449883	30S ribosomal subunit protein S3
citF	648039	649571	citrate lyase &alpha; subunit
mrdA	666316	668217	peptidoglycan DD-transpeptidase MrdA
yahJ	341125	342507	amidohydrolase family protein YahJ
aroA	958812	960095	3-phosphoshikimate 1-carboxyvinyltransferase
pxpA	745165	745899	5-oxoprolinase component A
yjbQ	4270238	4270654	PF01894 family protein YjbQ
frwC	4142530	4143609	putative PTS enzyme IIC component FrwC
mmuP	275325	276728	CP4-6 prophage; <i>S</i>-methyl-L-methionine transporter
nei	745935	746726	endonuclease VIII
gabD	2791273	2792721	succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD
exoX	1926120	1926782	exonuclease X
dgoR	3874471	3875160	DNA-binding transcriptional regulator DgoR
dgcP	1877715	1878740	diguanylate cyclase DgcP
potH	896134	897087	putrescine ABC transporter membrane subunit PotH
ynaK	1425377	1425640	Rac prophage; ParB-like nuclease domain-containing protein YnaK
ybhG	828974	829972	HlyD_D23 family protein YbhG
yneL	1590334	1590536	putative HTH-type transcriptional regulator YneL
rplR	3445244	3445597	50S ribosomal subunit protein L18
pbpC	2645013	2647325	peptidoglycan glycosyltransferase PbpC
slp	3653961	3654527	starvation lipoprotein
aroL	406405	406929	shikimate kinase 2
yeiG	2243910	2244746	<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase
pqqL	1572407	1575202	periplasmic metalloprotease
gyrB	3877705	3880119	DNA gyrase subunit B
punR	1738866	1739798	DNA-binding transcriptional activator PunR
ybaZ	475982	476371	DNA base-flipping protein
yfaQ	2328148	2329797	tandem DUF2300 domain-containing protein YfaQ
fetA	515919	516596	putative iron ABC exporter ATP-binding subunit FetA
recB	2952461	2956003	exodeoxyribonuclease V subunit RecB
hcaR	2668006	2668896	DNA-binding transcriptional dual regulator HcaR
cdh	4109930	4110685	CDP-diacylglycerol diphosphatase
uidC	1691586	1692851	outer membrane porin family protein UidC
ileY	2785762	2785837	tRNA-Ile(CAU)
rzpD	578107	578568	DLP12 prophage; putative prophage endopeptidase RzpD
yjfZ	4426628	4427422	DUF2686 domain-containing protein YjfZ
yzfA	4447976	4448245	
ykfJ	253467	253733	RNA ligase superfamily protein YkfJ
yhbY	3327790	3328083	ribosome assembly factor YhbY
hdhA	1697273	1698040	7-&alpha;-hydroxysteroid dehydrogenase
amiA	2552352	2553221	<i>N</i>-acetylmuramoyl-L-alanine amidase A
dinQ	3647705	3647788	membrane toxin DinQ
aroE	3430020	3430838	shikimate dehydrogenase
agaC	3284685	3285488	galactosamine-specific PTS enzyme IIC component
tesA	519139	519765	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
mntH	2511468	2512706	Mn<sup>2+</sup>/Fe<sup>2+</sup>: H<sup>+</sup> symporter MntH
metH	4223828	4227511	cobalamin-dependent methionine synthase
kdpA	727059	728732	K<sup>+</sup> transporting P-type ATPase subunit KdpA
hsdR	4583249	4586761	type I restriction enzyme EcoKI endonuclease subunit
paaE	1456430	1457500	phenylacetyl-CoA 1,2-epoxidase, reductase subunit
puuA	1359490	1360908	glutamate-putrescine ligase
ynbB	1478226	1479122	putative CDP-diglyceride synthase
yagK	292322	292948	CP4-6 prophage; uncharacterized protein YagK
torZ	1954578	1957007	trimethylamine <i>N</i>-oxide reductase 2
yjdQ	4362191	4362353	
rpsP	2745937	2746185	30S ribosomal subunit protein S16
mepA	2445560	2446384	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase
aroB	3517398	3518486	3-dehydroquinate synthase
psiF	403281	403601	phosphate starvation-inducible protein PsiF
gcl	533916	535697	glyoxylate carboligase
yjeT	4404386	4404583	DUF2065 domain-containing protein YjeT
frmB	377535	378368	<i>S</i>-formylglutathione hydrolase FrmB
mgtA	4467625	4470321	Mg<sup>2+</sup> importing P-type ATPase
yigE	4000292	4001056	DUF2233 domain-containing protein YigE
yejF	2276300	2277889	putative oligopeptide ABC transporter ATP binding subunit YejF
sbcD	415750	416952	ATP-dependent structure-specific DNA nuclease - SbcD subunit
uhpC	3847305	3848624	UhpC-glucose-6-P // inner membrane protein sensing glucose-6-phosphate
yhfK	3486791	3488893	putative transporter YhfK
ycdZ	1100296	1100787	inner membrane protein YcdZ
valT	780765	780840	tRNA-Val(UAC)
trpD	1319789	1321384	anthranilate synthase subunit TrpD
cspB	1641339	1641554	Qin prophage; cold shock-like protein CspB
yhcD	3362807	3365188	putative fimbrial usher protein YhcD
nuoE	2401552	2402052	NADH:quinone oxidoreductase subunit E
ypjI	2775545	2775816	putative UPF0401 protein YpjI
rplO	3444105	3444539	50S ribosomal subunit protein L15
ulaE	4422846	4423700	L-ribulose-5-phosphate 3-epimerase UlaE
mipA	1865726	1866472	MltA-interacting protein
yhiY	3630665	3630778	protein YhiY
chbG	1816386	1817135	chitooligosaccharide monodeacetylase ChbG
dtd	4077015	4077452	D-aminoacyl-tRNA deacylase
hflD	1191990	1192631	lysogenization regulator
frvB	4090915	4092366	putative PTS enzyme IIBC component FrvB
kdpB	724988	727036	K<sup>+</sup> transporting P-type ATPase subunit KdpB
panE	443604	444515	2-dehydropantoate 2-reductase
uvrB	813526	815547	UvrABC excision nuclease subunit B
yagH	286789	288399	CP4-6 prophage; putative xylosidase/arabinosidase
caiC	36271	37824	carnitine&mdash;CoA ligase
pdeI	872979	875327	putative c-di-GMP phosphodiesterase PdeI
ydfA	1648508	1648663	Qin prophage; DUF1391 domain-containing protein YdfA
nrfD	4290476	4291432	putative menaquinol-cytochrome <i>c</i> reductase subunit NrfD
mlaC	3337256	3337891	intermembrane phospholipid transport system - periplasmic binding protein
ybeM	658031	658818	deamidated glutathione amidase, N-terminal fragment
dbpA	1409511	1410884	ATP-dependent RNA helicase DbpA
amiB	4396065	4397402	<i>N</i>-acetylmuramoyl-L-alanine amidase B
ytfK	4439587	4439793	stringent response modulator YtfK
bcsZ	3689155	3690261	endo-1,4-D-glucanase
paoC	298736	300934	aldehyde dehydrogenase: molybdenum cofactor-binding subunit
yrdD	3431420	3431962	putative DNA topoisomerase
seqA	712987	713532	negative modulator of initiation of replication
kdpF	728732	728821	K<sup>+</sup> transporting P-type ATPase subunit KdpF
yeaY	1889951	1890532	Slp family lipoprotein YeaY
oppD	1304754	1305767	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD
recJ	3036373	3038106	ssDNA-specific exonuclease RecJ
rbsA	3933778	3935283	ribose ABC transporter ATP binding subunit
ydbK	1437260	1440784	putative pyruvate-flavodoxin oxidoreductase
sfmD	559697	562300	putative fimbrial usher protein SfmD
proL	2286211	2286287	tRNA-Pro(GGG)
trpA	1316416	1317222	tryptophan synthase subunit &alpha;
fxsA	4368664	4369140	protein FxsA
b1425	1498432	1498635	
yccJ	1066864	1067091	PF13993 family protein YccJ
hybB	3142986	3144164	hydrogenase 2 membrane subunit
ygeP	2997689	2997988	protein YgeP
rsgA	4390457	4391509	ribosome small subunit-dependent GTPase A
nfsB	604771	605424	NAD(P)H-dependent nitroreductase NfsB
acpH	424337	424918	acyl carrier protein phosphodiesterase
murB	4172057	4173085	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase
ynaN	1407989	1408036	protein YnaN
frvX	4089855	4090925	peptidase M42 family protein FrvX
yieF	3894652	3895218	quinone reductase
yhhA	3586943	3587383	DUF2756 domain-containing protein YhhA
sgcA	4527549	4527980	putative PTS enzyme IIA component SgcA
kdpC	724407	724979	K<sup>+</sup> transporting P-type ATPase subunit KdpC
recC	2959060	2962428	exodeoxyribonuclease V subunit RecC
glk	2508461	2509426	glucokinase
yafY	266110	266553	CP4-6 prophage; inner membrane lipoprotein YafY
abpB	2761351	2763540	CP4-57 prophage; putative helicase YfjK
hyfA	2601201	2601818	hydrogenase 4 component A
rzpR	1423345	1423644	Rac prophage; putative endopeptidase RzpR
yjgA	4457314	4457865	putative ribosome biogenesis factor YjgA
dacC	880727	881929	D-alanyl-D-alanine carboxypeptidase DacC
mazG	2909894	2910685	nucleoside triphosphate pyrophosphohydrolase
yqjD	3249375	3249680	ribosome- and membrane-associated DUF883 domain-containing protein YqjD
katE	1813867	1816128	catalase HPII
usg	2435636	2436649	putative semialdehyde dehydrogenase Usg
mlaF	3339256	3340065	intermembrane phospholipid transport system, ATP binding subunit MlaF
nfi	4198790	4199461	endonuclease V
manZ	1903895	1904746	mannose-specific PTS enzyme IID component
hinT	1161885	1162244	purine nucleoside phosphoramidase
uhpU	3845730	3845995	small RNA UhpU
leuU	3322072	3322158	tRNA-Leu(GAG)
aroH	1788435	1789481	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive
yfdQ	2474032	2474856	CPS-53 (KpLE1) prophage; DUF2303 domain-containing protein YfdQ
yghF	3112054	3113049	putative type II secretion system C-type protein YghF
hyaF	1036749	1037606	protein HyaF
yafU	238746	239084	putative inner membrane protein
rpsM	3442115	3442471	30S ribosomal subunit protein S13
scpB	3063993	3064778	methylmalonyl-CoA decarboxylase
acpP	1151615	1151851	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein
mepK	983075	983623	peptidoglycan L,D-endopeptidase
ynfT	1632890	1633003	Qin prophage; protein YnfT
sodC	1724134	1724655	superoxide dismutase (Cu-Zn)
yhaB	3267854	3268393	protein YhaB
glvC	3862497	3863603	putative PTS enzyme II component GlvC
mcrB	4577958	4579337	McrB<sub>S</sub> // Type IV methyl-directed restriction enzyme EcoKMcrB subunit
